,序號,tool,category
1077,2042,Android,4
1077,2042,iOS,4
1077,2042,C,4
1077,2042,Objective-C,4
1079,2044,Android,4
1079,2044,iOS,4
1079,2044,C,4
1079,2044,Objective-C,4
1080,2045,Android,4
1080,2045,iOS,4
1080,2045,C,4
1080,2045,Objective-C,4
1081,2046,Android,4
1081,2046,iOS,4
1081,2046,C,4
1081,2046,Objective-C,4
1082,2048,C,4
1082,2048,C++,4
1086,2052,Linux,4
1086,2052,C,4
1086,2052,C++,4
1086,2052,Matlab,4
1086,2052,Python,4
1097,2068,Linux,4
1097,2068,Shell,4
1097,2068,Github,4
1097,2068,C++,4
1097,2068,Python,4
1097,2068,JavaScript,4
1098,2069,C,4
1098,2069,C#,4
1098,2069,C++,4
1099,2070,Android,4
1099,2070,iOS,4
1099,2070,C,4
1099,2070,Objective-C,4
1100,2072,Android,4
1100,2072,iOS,4
1100,2072,C,4
1100,2072,Objective-C,4
1102,2074,Android,4
1102,2074,iOS,4
1102,2074,C,4
1102,2074,Objective-C,4
1103,2075,Android,4
1103,2075,iOS,4
1103,2075,C,4
1103,2075,Objective-C,4
1104,2076,Android,4
1104,2076,iOS,4
1104,2076,C,4
1104,2076,Objective-C,4
1105,2078,C,4
1105,2078,C++,4
1109,2082,Linux,4
1109,2082,C,4
1109,2082,C++,4
1109,2082,Matlab,4
1109,2082,Python,4
1120,2098,Linux,4
1120,2098,Shell,4
1120,2098,Github,4
1120,2098,C++,4
1120,2098,Python,4
1120,2098,JavaScript,4
1121,2099,C,4
1121,2099,C#,4
1121,2099,C++,4
1135,2118,Linux,4
1135,2118,C,4
1135,2118,Java,4
1135,2118,Go,4
1135,2118,HTML,4
1158,2148,Linux,4
1158,2148,C,4
1158,2148,Java,4
1158,2148,Go,4
1158,2148,HTML,4
1181,2177,Git,4
1181,2177,C++,4
1181,2177,Python,4
1183,2179,Linux,4
1183,2179,Git,4
1183,2179,C,4
1183,2179,C++,4
1183,2179,Python,4
1189,2185,Linux,4
1189,2185,C++,4
1193,2189,Linux,4
1193,2189,C++,4
1193,2189,Python,4
1194,2190,Linux,4
1194,2190,C++,4
1195,2191,C,4
1195,2191,C++,4
1196,2192,Android,4
1196,2192,Git,4
1196,2192,C++,4
1196,2192,Matlab,4
1196,2192,Python,4
1198,2194,Linux,4
1198,2194,C++,4
1200,2197,C,4
1200,2197,C++,4
1203,2203,Linux,4
1203,2203,MacOS,4
1203,2203,Mac/Macintosh,4
1203,2203,Windows10,4
1203,2203,Github,4
1203,2203,Git,4
1203,2203,C,4
1203,2203,C#,4
1203,2203,C++,4
1203,2203,C++.Net,4
1203,2203,Python,4
1203,2203,VisualC#,4
1203,2203,VisualC++,4
1203,2203,VisualStudio,4
1203,2203,VisualStudio.net,4
1203,2203,ReactNative,4
1204,2204,Linux,4
1204,2204,Github,4
1204,2204,C++,4
1204,2204,Python,4
1204,2204,Node.js,4
1204,2204,VueJS,4
1207,2207,Git,4
1207,2207,C++,4
1207,2207,Python,4
1209,2209,Linux,4
1209,2209,Git,4
1209,2209,C,4
1209,2209,C++,4
1209,2209,Python,4
1215,2215,Linux,4
1215,2215,C++,4
1219,2219,Linux,4
1219,2219,C++,4
1219,2219,Python,4
1220,2220,Linux,4
