,序號,薪水,學歷要求
1546,1546,58000,專科
1547,1547,30000,大學
1548,1548,30000,專科
1549,1549,30000,大學
1550,1550,90000,碩士
1553,1553,51500,大學
1554,1554,37625,專科
1556,1556,41500,大學
1561,1561,80000,大學
1562,1562,50000,大學
1563,1563,165000,不拘
1565,1565,55000,大學
1567,1567,40000,專科
1570,1570,72500,專科
1572,1572,50000,專科
1574,1574,50000,專科
1576,1576,55000,專科
1577,1577,70000,專科
1579,1579,65000,大學
1581,1581,48500,大學
1589,1589,47500,專科
1591,1591,47500,專科
1599,1599,50000,大學
1600,1600,76153,大學
1601,1601,35000,專科
1604,1604,33500,大學
1609,1609,40000,專科
1613,1613,42500,大學
1614,1614,47500,大學
1622,1622,57500,碩士
1623,1623,167500,不拘
1624,1624,105000,大學
1625,1625,47500,大學
1627,1627,70000,大學
1628,1628,60000,博士
1633,1633,40000,專科
1636,1636,60000,碩士
1637,1637,50000,大學
1639,1639,60000,大學
1645,1645,61000,大學
1648,1648,60000,大學
1649,1649,47500,專科
1650,1650,60000,大學
1651,1651,60000,大學
1652,1652,60000,大學
1653,1653,80000,大學
1654,1654,125000,大學
1656,1656,47500,專科
1657,1657,45000,專科
1658,1658,75000,大學
1659,1659,107692,專科
1661,1662,45000,不拘
1662,1663,82500,專科
1663,1664,75000,專科
1664,1665,60000,專科
1665,1666,60000,專科
1667,1668,75000,大學
1669,1670,52500,專科
1672,1673,30000,大學
1673,1674,62500,大學
1675,1676,47500,大學
1676,1677,51000,大學
1679,1680,125000,高中
1681,1682,85000,大學
1682,1683,85000,大學
1685,1686,46500,不拘
1689,1690,173076,大學
1692,1693,173076,大學
1696,1697,92307,大學
1697,1698,92307,專科
1703,1704,70000,大學
1711,1712,92307,專科
1714,1715,63461,大學
1720,1721,42500,大學
1726,1727,461538,不拘
1727,1728,125000,專科
1728,1729,65000,大學
1731,1732,40000,大學
1732,1733,50000,專科
1733,1734,44000,專科
1734,1735,46500,專科
1735,1736,72500,專科
1745,1746,40000,大學
1747,1748,44000,專科
1748,1749,45000,專科
1751,1752,80000,大學
1756,1757,37500,高中
1759,1760,41500,大學
1760,1761,35000,專科
1764,1765,85000,大學
1765,1766,35000,大學
1767,1768,72500,專科
1775,1776,65384,專科
1776,1777,72500,大學
1778,1779,42500,大學
1781,1782,115384,大學
1788,1789,42500,專科
1792,1793,70000,專科
1796,1797,42500,專科
1797,1798,42500,專科
1800,1801,44000,專科
1801,1802,45000,專科
1802,1803,50000,大學
1803,1804,50000,大學
1804,1805,71000,專科
1810,1811,37500,碩士
1815,1816,80000,專科
1816,1817,80000,專科
1823,1824,60000,專科
1826,1827,60000,不拘
1827,1828,57500,不拘
1834,1835,37500,大學
1835,1836,80769,大學
1839,1840,31500,專科
1841,1842,44000,專科
1842,1843,42500,專科
1843,1844,38500,大學
1848,1849,60000,大學
1849,1850,31000,高中
1858,1859,50000,專科
1861,1862,76923,大學
1862,1863,65000,大學
1863,1864,40000,大學
1864,1865,55000,專科
1865,1866,115384,大學
1866,1867,44000,專科
1867,1868,42500,專科
1868,1869,113100,大學
1869,1870,45000,專科
1873,1874,33000,專科
1874,1875,40000,高中
1875,1876,58000,不拘
1876,1877,65000,專科
1877,1878,60000,專科
1879,1880,40000,大學
1880,1881,60000,大學
1881,1882,54000,大學
1884,1885,34998,專科
1887,1888,35000,專科
1888,1889,35000,專科
1891,1892,35000,大學
1892,1893,165000,不拘
1893,1894,26000,高中
1894,1895,26000,專科
1896,1897,42500,專科
1897,1898,44000,專科
1898,1899,42500,專科
1899,1900,30125,專科
1900,1901,47500,專科
1901,1902,32500,不拘
1902,1903,47500,專科
1903,1904,35000,不拘
1906,1907,40000,專科
1907,1908,33500,大學
1908,1909,67500,專科
1909,1910,55000,專科
1910,1911,39000,專科
1911,1912,50000,不拘
1913,1914,47500,專科
1917,1918,41500,大學
1918,1919,28000,不拘
1919,1920,155000,專科
1924,1925,47500,專科
1925,1926,37500,高中
1927,1928,70000,專科
1933,1934,107692,大學
1934,1935,1500000,大學
1935,1936,1500000,大學
1936,1937,123076,大學
1937,1938,130769,大學
1938,1939,80000,大學
1939,1940,40000,高中
1940,1941,80000,大學
1941,1942,80000,大學
1943,1944,88461,專科
1948,1949,45000,專科
1950,1951,58000,不拘
1952,1953,57500,碩士
1958,1959,96153,大學
1964,1965,40000,大學
1965,1966,40000,大學
1967,1968,34000,大學
1968,1969,38000,大學
1974,1975,55000,高中
1977,1978,35000,專科
1978,1979,65000,大學
1981,1982,52500,專科
1982,1983,57500,專科
1988,1989,53000,高中
1994,1995,40000,大學
1995,1996,40000,大學
1997,1998,34000,大學
1998,1999,38000,大學
2004,2005,55000,高中
2007,2008,35000,專科
2008,2009,65000,大學
2011,2012,52500,專科
2012,2013,57500,專科
2018,2019,53000,高中
2024,2025,40000,大學
2025,2026,40000,大學
2027,2028,34000,大學
2028,2029,38000,大學
2033,2034,50000,大學
2034,2035,60000,專科
2035,2036,43000,大學
2036,2037,60000,專科
2037,2038,76923,碩士
2039,2040,55000,大學
2040,2041,88461,專科
2041,2042,60000,大學
2043,2044,45000,大學
2044,2045,50000,大學
2045,2046,55000,大學
2046,2047,34000,專科
2048,2049,50000,不拘
2055,2056,115384,大學
2059,2060,70000,大學
2060,2061,40000,專科
2061,2062,50000,大學
2062,2063,76923,大學
2063,2064,50000,大學
2064,2065,60000,專科
2065,2066,43000,大學
2066,2067,60000,專科
2067,2068,76923,碩士
2069,2070,55000,大學
2070,2071,88461,專科
2071,2072,60000,大學
2073,2074,45000,大學
2074,2075,50000,大學
2075,2076,55000,大學
2076,2077,34000,專科
2078,2079,50000,不拘
2085,2086,115384,大學
2089,2090,70000,大學
2090,2091,40000,專科
2091,2092,50000,大學
2092,2093,76923,大學
2093,2094,50000,大學
2094,2095,60000,專科
2095,2096,43000,大學
2096,2097,60000,專科
2097,2098,76923,碩士
2099,2100,37500,專科
2102,2103,52500,專科
2103,2104,50000,專科
2105,2106,37410,專科
2106,2107,33060,專科
2108,2109,90000,專科
2109,2110,92500,專科
2110,2111,60000,大學
2111,2112,100000,專科
2112,2113,95000,專科
2115,2116,75000,專科
2116,2117,57500,大學
2117,2118,85000,專科
2118,2119,80000,專科
2119,2120,47000,不拘
2121,2122,75000,專科
2122,2123,100000,專科
2123,2124,76923,專科
2126,2127,28000,高中
2127,2128,70000,大學
2128,2129,107692,專科
2129,2130,37500,專科
2132,2133,52500,專科
2133,2134,50000,專科
2135,2136,37410,專科
2136,2137,33060,專科
2138,2139,90000,專科
2139,2140,92500,專科
2140,2141,60000,大學
2141,2142,100000,專科
2142,2143,95000,專科
2145,2146,75000,專科
2146,2147,57500,大學
2147,2148,85000,專科
2148,2149,80000,專科
2149,2150,47000,不拘
2151,2152,75000,專科
2152,2153,100000,專科
2153,2154,76923,專科
2156,2157,28000,高中
2157,2158,70000,大學
2158,2159,107692,專科
2159,2160,37500,專科
2162,2163,52500,專科
2163,2164,50000,專科
2165,2166,37410,專科
2166,2167,33060,專科
2168,2169,90000,專科
2169,2170,92500,專科
2170,2171,60000,大學
2171,2172,100000,專科
2172,2173,95000,專科
2175,2176,107692,大學
2179,2180,107692,大學
2181,2182,107692,大學
2187,2188,130769,大學
2194,2195,70000,不拘
2196,2197,123076,大學
2203,2204,42500,大學
2205,2206,107692,大學
2209,2210,107692,大學
2211,2212,107692,大學
2217,2218,130769,大學
2224,2225,70000,不拘
2226,2227,123076,大學
2233,2234,42500,大學
2235,2236,107692,大學
2239,2240,107692,大學
2241,2242,107692,大學
2247,2248,130769,大學
2254,2255,40000,不拘
2255,2256,55000,專科
2257,2258,47000,大學
2263,2264,55500,專科
2266,2267,47000,大學
2271,2272,47000,大學
2272,2273,47000,大學
2273,2274,47000,大學
2274,2275,47000,大學
2275,2276,47000,大學
2279,2280,47000,大學
2280,2281,47000,大學
2284,2285,30000,碩士
2287,2288,47000,大學
2293,2294,55500,專科
2295,2296,70000,大學
2301,2302,90000,大學
2305,2306,65000,大學
2314,2315,47500,大學
2325,2326,70000,大學
2331,2332,90000,大學
2335,2336,65000,大學
2344,2345,47500,大學
2355,2356,70000,大學
2361,2362,90000,大學
2365,2366,65000,大學
2374,2375,47500,大學
2385,2386,70000,大學
2391,2392,90000,大學
2395,2396,65000,大學
2404,2405,47500,大學
2415,2416,70000,大學
2421,2422,90000,大學
2425,2426,65000,大學
2434,2435,47500,大學
2445,2446,70000,大學
2451,2452,90000,大學
2455,2456,65000,大學
2464,2465,47500,大學
2475,2476,70000,大學
2481,2482,90000,大學
2485,2486,65000,大學
2494,2495,47500,大學
2505,2506,70000,大學
2511,2512,90000,大學
2515,2516,65000,大學
2523,2524,47500,大學
2534,2535,70000,大學
2540,2541,90000,大學
2544,2545,65000,大學
2547,2548,100000,大學
2550,2551,41500,大學
2551,2552,62500,碩士
2558,2559,55000,大學
2564,2565,80000,大學
2572,2573,58000,專科
2575,2576,33000,大學
2577,2578,100000,大學
2580,2581,41500,大學
2581,2582,62500,碩士
2588,2589,55000,大學
2594,2595,80000,大學
2602,2603,42500,大學
2604,2605,66500,大學
2605,2606,44000,大學
2608,2609,60000,大學
2626,2627,52500,專科
2627,2628,52500,專科
2630,2631,40000,大學
2631,2632,61538,專科
2632,2633,44000,大學
2634,2635,66500,大學
2635,2636,44000,大學
2638,2639,60000,大學
2656,2657,52500,專科
2657,2658,52500,專科
2660,2661,75000,專科
2661,2662,60000,專科
2662,2663,65000,專科
2663,2664,43500,大學
2665,2666,43500,專科
2676,2677,36000,專科
2684,2685,34000,大學
2686,2687,36500,不拘
2687,2688,33000,專科
2690,2691,75000,專科
2691,2692,60000,專科
2692,2693,65000,專科
2693,2694,43500,大學
2698,2699,50500,大學
2699,2700,50500,大學
2700,2701,50500,大學
2701,2702,50500,大學
2704,2705,65000,大學
2724,2725,35000,大學
2725,2726,55000,大學
2727,2728,34800,專科
2729,2730,41500,專科
2730,2731,70000,大學
2734,2735,65000,大學
2754,2755,35000,大學
2755,2756,55000,大學
2757,2758,34800,專科
2759,2760,41500,專科
2760,2761,70000,大學
2764,2765,65000,大學
2772,2773,60000,專科
2788,2789,52500,大學
2789,2790,75000,大學
2791,2792,75000,大學
2792,2793,33500,不拘
2793,2794,55000,不拘
2798,2799,50000,大學
2801,2802,53000,專科
2818,2819,52500,大學
2819,2820,75000,大學
2821,2822,75000,大學
2822,2823,33500,不拘
2823,2824,55000,不拘
2828,2829,50000,大學
2831,2832,53000,專科
2843,2844,50000,大學
2849,2850,75000,大學
2850,2851,70000,大學
