,工作經歷,薪水
3658,0-1年,38500
3659,1-3年,47500
3660,3-5年,55000
3661,1-3年,40000
3662,0-1年,70000
3663,1-3年,55000
3669,3-5年,37500
3670,3-5年,42500
3673,3-5年,32200
3674,3-5年,40000
3675,0-1年,33000
3676,1-3年,40000
3686,3-5年,55000
3688,0-1年,35000
3694,0-1年,33000
3695,0-1年,46000
3696,0-1年,48500
3701,1-3年,40000
3709,1-3年,30000
3710,3-5年,60000
3711,1-3年,75000
3716,3-5年,32400
3718,0-1年,50000
3719,1-3年,32400
3724,0-1年,42500
3726,1-3年,41000
3727,1-3年,41000
3733,0-1年,38500
3735,0-1年,48500
3736,1-3年,60900
3737,1-3年,37500
3738,0-1年,40000
3739,5-10年,62500
3740,1-3年,50000
3743,1-3年,31000
3744,0-1年,88461
3747,1-3年,50000
3748,0-1年,35000
3749,3-5年,50000
3750,3-5年,60000
3751,3-5年,50000
3752,3-5年,60000
3753,5-10年,75000
3754,3-5年,45000
3755,0-1年,45000
3756,1-3年,40250
3757,1-3年,40250
3758,1-3年,30350
3759,0-1年,68500
3760,1-3年,47500
3761,0-1年,45000
3762,0-1年,45000
3766,1-3年,70000
3767,1-3年,65000
3768,0-1年,30000
3769,0-1年,35000
3770,0-1年,26000
3771,1-3年,33000
3773,0-1年,43500
3775,1-3年,42500
3777,1-3年,50000
3779,1-3年,50000
3782,0-1年,40000
3786,1-3年,51500
3787,0-1年,130000
3788,0-1年,40000
3789,1-3年,55769
3792,0-1年,45000
3794,5-10年,155000
3796,0-1年,37500
3799,1-3年,61538
3805,0-1年,59500
3806,0-1年,55000
3807,0-1年,50000
3810,1-3年,84615
3812,1-3年,95000
3813,1-3年,54000
3818,1-3年,51500
3819,0-1年,130000
3820,0-1年,40000
3821,1-3年,55769
3824,0-1年,45000
3826,5-10年,155000
3828,0-1年,37500
3831,1-3年,61538
3837,0-1年,59500
3838,0-1年,55000
3839,0-1年,50000
3842,1-3年,84615
3844,1-3年,95000
3845,1-3年,54000
3850,1-3年,51500
3851,0-1年,130000
3852,0-1年,40000
3853,1-3年,55769
3856,0-1年,45000
3858,5-10年,155000
3860,0-1年,37500
3863,1-3年,61538
3869,0-1年,59500
3870,0-1年,55000
3871,0-1年,50000
3874,1-3年,84615
3876,1-3年,95000
3877,1-3年,54000
3882,1-3年,51500
3883,0-1年,130000
3884,0-1年,40000
3885,1-3年,55769
3888,0-1年,45000
3890,5-10年,155000
3892,0-1年,37500
3895,1-3年,61538
3901,0-1年,59500
3902,0-1年,55000
3903,0-1年,50000
3906,1-3年,84615
3908,1-3年,95000
3909,1-3年,54000
3914,1-3年,51500
3915,0-1年,130000
3916,0-1年,40000
3917,1-3年,55769
3920,0-1年,45000
3922,5-10年,155000
3924,0-1年,37500
3927,1-3年,61538
3933,0-1年,59500
3934,0-1年,55000
3935,0-1年,50000
3938,1-3年,84615
3940,1-3年,95000
3941,1-3年,54000
3946,1-3年,51500
3947,0-1年,130000
3948,0-1年,40000
3949,1-3年,55769
3952,0-1年,45000
3954,5-10年,155000
3956,0-1年,37500
3959,1-3年,61538
3965,0-1年,59500
3966,0-1年,55000
3967,0-1年,50000
3970,1-3年,84615
3972,1-3年,95000
3973,1-3年,54000
3978,1-3年,51500
3979,0-1年,130000
3980,0-1年,40000
3981,1-3年,55769
3984,0-1年,45000
3986,5-10年,155000
3988,0-1年,37500
3991,1-3年,61538
3997,0-1年,59500
3998,0-1年,55000
3999,0-1年,50000
4002,1-3年,84615
4004,1-3年,95000
4005,1-3年,54000
4010,1-3年,51500
4011,0-1年,130000
4012,0-1年,40000
4013,1-3年,55769
4016,0-1年,45000
4018,5-10年,155000
4020,0-1年,37500
4023,1-3年,61538
4029,0-1年,59500
