,工作經歷,薪水
32918,0-1年,28000
32919,3-5年,28000
32922,1-3年,28000
32924,3-5年,28000
32925,5-10年,50000
32926,5-10年,82500
32928,3-5年,125000
32932,0-1年,33500
32938,0-1年,30000
32942,1-3年,38000
32943,1-3年,38000
32949,0-1年,40000
32950,1-3年,51401
32952,3-5年,40000
32955,1-3年,65384
32958,0-1年,29232
32962,0-1年,33500
32968,0-1年,30000
32972,1-3年,38000
32973,1-3年,38000
32979,0-1年,40000
32980,1-3年,51401
32982,3-5年,40000
32985,1-3年,65384
32988,0-1年,29232
32992,0-1年,33500
32998,0-1年,30000
33002,1-3年,38000
33003,1-3年,38000
33009,0-1年,40000
33010,1-3年,51401
33012,3-5年,40000
33015,1-3年,65384
33018,0-1年,29232
33022,0-1年,33500
33028,0-1年,30000
33032,1-3年,38000
33033,1-3年,38000
33039,0-1年,40000
33040,1-3年,51401
33042,3-5年,40000
33045,1-3年,65384
33048,0-1年,29232
33052,0-1年,33500
33058,0-1年,30000
33062,1-3年,38000
33063,1-3年,38000
33069,0-1年,40000
33070,1-3年,51401
33072,3-5年,40000
33075,1-3年,65384
33078,0-1年,29232
33082,0-1年,33500
33088,0-1年,30000
33092,1-3年,38000
33093,1-3年,38000
33099,0-1年,40000
33100,1-3年,51401
33102,3-5年,40000
33105,1-3年,65384
33108,0-1年,29232
33112,0-1年,33500
33118,0-1年,30000
33122,1-3年,38000
33123,1-3年,38000
33129,0-1年,40000
33130,1-3年,51401
33132,3-5年,40000
33135,1-3年,65384
33138,0-1年,29232
33142,0-1年,33500
33148,0-1年,30000
33152,1-3年,38000
33153,1-3年,38000
33159,0-1年,40000
33160,1-3年,51401
33162,3-5年,40000
33165,1-3年,65384
33168,0-1年,29232
33172,0-1年,33500
33178,0-1年,30000
33182,1-3年,38000
33183,1-3年,38000
33189,0-1年,40000
33192,3-5年,40500
33193,0-1年,47500
33196,3-5年,35000
33197,1-3年,55000
33206,1-3年,36000
33210,0-1年,36000
33222,0-1年,36570
33239,1-3年,46000
33240,1-3年,30000
33245,1-3年,82500
33247,3-5年,85000
33252,5-10年,80000
33255,3-5年,50000
33256,0-1年,35000
33258,1-3年,84615
33275,1-3年,82500
33277,3-5年,85000
33282,5-10年,80000
33285,3-5年,50000
33286,0-1年,35000
33288,1-3年,84615
33305,1-3年,82500
33307,3-5年,85000
33312,5-10年,80000
33315,3-5年,50000
33316,0-1年,35000
33318,1-3年,84615
33335,1-3年,82500
33337,3-5年,85000
33342,5-10年,80000
33345,3-5年,50000
33346,0-1年,35000
33348,1-3年,84615
33365,1-3年,82500
33367,3-5年,85000
33372,5-10年,80000
33375,3-5年,50000
33376,0-1年,35000
33378,1-3年,84615
33395,1-3年,82500
33397,3-5年,85000
33402,5-10年,80000
33405,3-5年,50000
33406,0-1年,35000
33408,1-3年,84615
33425,1-3年,82500
33427,3-5年,85000
33432,5-10年,80000
33435,3-5年,50000
33436,0-1年,35000
33438,1-3年,84615
33455,1-3年,82500
33457,3-5年,85000
33462,5-10年,80000
33465,3-5年,50000
33466,0-1年,35000
33468,1-3年,84615
33485,1-3年,82500
33487,3-5年,85000
33492,5-10年,80000
33495,3-5年,50000
33496,0-1年,35000
33498,1-3年,84615
33515,1-3年,82500
33517,3-5年,85000
33522,5-10年,80000
33525,3-5年,50000
33526,0-1年,35000
33528,1-3年,84615
33545,1-3年,82500
33547,3-5年,85000
33552,5-10年,80000
33555,3-5年,50000
33556,0-1年,35000
33558,1-3年,84615
33575,1-3年,82500
33577,3-5年,85000
33582,5-10年,80000
33585,3-5年,50000
33586,0-1年,35000
33588,1-3年,84615
33605,1-3年,82500
33607,3-5年,85000
33612,5-10年,80000
33615,3-5年,50000
33616,0-1年,35000
33618,1-3年,84615
33635,1-3年,82500
33637,3-5年,85000
33642,5-10年,80000
33645,3-5年,50000
33646,0-1年,35000
33648,1-3年,84615
33665,1-3年,82500
33667,3-5年,85000
33672,5-10年,80000
33675,3-5年,50000
33676,0-1年,35000
33678,1-3年,84615
33695,1-3年,82500
33697,3-5年,85000
33702,5-10年,80000
33705,3-5年,50000
33706,0-1年,35000
33708,1-3年,84615
33725,1-3年,82500
33727,3-5年,85000
33732,5-10年,80000
33735,3-5年,50000
33736,0-1年,35000
33738,1-3年,84615
33755,1-3年,82500
33757,3-5年,85000
33760,1-3年,64384
33763,0-1年,34800
33790,1-3年,64384
33793,0-1年,34800
33820,1-3年,64384
33823,0-1年,34800
33850,1-3年,64384
33853,0-1年,34800
33880,1-3年,64384
33883,0-1年,34800
33905,0-1年,100000
33906,5-10年,70000
33907,1-3年,57500
33908,0-1年,40000
33909,0-1年,40000
33918,3-5年,50000
33919,3-5年,45000
33923,0-1年,42500
33929,0-1年,38000
33930,0-1年,30000
33934,0-1年,45000
33948,3-5年,50000
33949,3-5年,45000
33950,1-3年,100000
33955,3-5年,52500
33956,1-3年,40500
33958,3-5年,65384
33961,3-5年,100000
33967,1-3年,60000
33968,5-10年,130769
33970,3-5年,75000
33971,1-3年,60000
33974,0-1年,52500
33980,1-3年,100000
33985,3-5年,52500
33986,1-3年,40500
33988,3-5年,65384
33991,3-5年,100000
33997,1-3年,60000
33998,5-10年,130769
34000,3-5年,75000
34001,1-3年,60000
34004,0-1年,52500
34010,1-3年,100000
34012,1-3年,50500
34013,0-1年,56500
34015,0-1年,29000
34018,3-5年,57500
34020,0-1年,36000
34021,1-3年,34000
34022,0-1年,50000
34023,1-3年,42500
34027,1-3年,34000
34034,0-1年,40000
34036,1-3年,40000
34040,0-1年,30000
34043,1-3年,50000
34045,0-1年,29000
34048,3-5年,57500
34050,0-1年,36000
34051,1-3年,34000
34052,0-1年,50000
34053,1-3年,42500
34057,1-3年,34000
34064,0-1年,40000
34066,1-3年,40000
34070,0-1年,30000
34073,1-3年,50000
34075,0-1年,29000
34080,1-3年,50000
34081,0-1年,33000
34082,0-1年,53846
34092,0-1年,50000
34101,1-3年,32625
34102,1-3年,37500
34105,0-1年,37000
34106,0-1年,37000
34107,0-1年,37000
34108,0-1年,39500
34110,0-1年,37000
34111,1-3年,37000
34112,3-5年,40000
34114,1-3年,35000
34122,0-1年,50000
34131,1-3年,32625
34132,1-3年,37500
34135,0-1年,37000
34136,0-1年,37000
34137,0-1年,37000
34138,0-1年,39500
34140,0-1年,37000
34141,1-3年,37000
34142,3-5年,40000
34144,1-3年,35000
34153,0-1年,50000
34155,0-1年,43500
34173,3-5年,60000
34179,1-3年,74500
34181,1-3年,31500
34182,0-1年,55000
34183,0-1年,43300
34195,3-5年,43500
34196,0-1年,42200
34198,1-3年,45000
34200,0-1年,41500
34201,0-1年,65000
34202,0-1年,40000
34211,3-5年,48500
34212,1-3年,47500
34213,1-3年,40000
34229,0-1年,62500
34230,0-1年,48500
34232,0-1年,36000
34237,0-1年,39500
34238,1-3年,39500
34240,0-1年,37500
34241,3-5年,70000
34245,3-5年,50000
34247,1-3年,47500
34248,0-1年,50000
34250,1-3年,49750
34251,1-3年,54000
34254,1-3年,37500
34258,5-10年,85000
34261,0-1年,30500
34262,3-5年,30500
34263,0-1年,40000
34264,0-1年,35000
34274,0-1年,36261
34275,1-3年,42000
34278,0-1年,40000
34279,3-5年,52500
34281,1-3年,55000
34282,0-1年,40000
34284,0-1年,59000
34286,0-1年,69000
34287,1-3年,69000
34288,1-3年,69000
34289,1-3年,69000
34291,0-1年,36950
34292,3-5年,45000
34293,0-1年,34000
34295,1-3年,33500
34298,5-10年,52500
34299,1-3年,38000
34300,0-1年,60000
34301,1-3年,40000
34302,0-1年,39000
34304,0-1年,40000
34306,1-3年,45000
34307,0-1年,51000
34316,3-5年,47500
34320,0-1年,45000
34323,3-5年,40000
34325,1-3年,50000
34329,1-3年,42500
34330,1-3年,33700
34331,3-5年,39500
34332,1-3年,57500
34333,1-3年,40000
34335,1-3年,35000
34339,3-5年,50000
34340,3-5年,50000
34341,3-5年,92307
34342,3-5年,50000
34344,1-3年,50000
34349,0-1年,44000
34350,0-1年,37890
34351,3-5年,47500
34352,1-3年,32000
34354,1-3年,30000
34361,1-3年,40000
34364,0-1年,51000
34365,0-1年,51000
34367,1-3年,40000
34369,0-1年,44000
34370,1-3年,51000
34373,0-1年,51000
34374,0-1年,51000
34375,0-1年,51000
34379,0-1年,44000
34380,0-1年,37890
34381,3-5年,47500
34382,1-3年,32000
34384,1-3年,30000
34391,1-3年,40000
34400,0-1年,33000
34405,0-1年,34500
34406,0-1年,38500
34407,0-1年,36000
34408,0-1年,51000
34410,1-3年,47500
34411,1-3年,40000
34416,0-1年,40000
34417,0-1年,36950
34418,1-3年,35000
34420,1-3年,40000
34421,1-3年,49500
34422,1-3年,50000
34423,1-3年,49500
34426,1-3年,38000
34430,0-1年,40000
34435,1-3年,45000
34445,1-3年,42500
34446,1-3年,90000
34447,1-3年,90000
34448,3-5年,85000
34451,0-1年,50000
34453,0-1年,50000
34454,1-3年,38000
34456,0-1年,45000
34463,0-1年,60000
34475,1-3年,42500
34476,1-3年,90000
34477,1-3年,90000
34478,3-5年,85000
34481,0-1年,50000
34483,0-1年,50000
34484,1-3年,38000
34486,0-1年,45000
34493,0-1年,60000
34505,1-3年,42500
34506,1-3年,90000
34507,1-3年,90000
34508,3-5年,85000
34511,0-1年,50000
34513,0-1年,50000
34514,1-3年,38000
34516,0-1年,45000
34523,0-1年,60000
34537,0-1年,37500
34543,0-1年,80000
34548,0-1年,37500
34549,3-5年,70000
34550,1-3年,45000
34551,0-1年,48000
34553,0-1年,39000
34554,0-1年,50000
34555,1-3年,50000
34559,1-3年,50000
34564,1-3年,39000
34565,0-1年,51000
34566,1-3年,51000
34568,5-10年,70000
34571,0-1年,45000
34576,0-1年,43000
34590,0-1年,55000
34594,1-3年,46500
34595,0-1年,43000
34597,1-3年,32000
34603,0-1年,47500
34605,3-5年,35000
34607,3-5年,42500
34612,0-1年,35500
34613,0-1年,40000
34614,0-1年,34000
34615,0-1年,50000
34616,0-1年,50000
34617,0-1年,50000
34618,0-1年,50000
34619,0-1年,50000
34620,0-1年,50000
34621,0-1年,50000
34622,0-1年,50000
34623,3-5年,52500
34624,3-5年,42500
34625,3-5年,70000
34626,0-1年,37500
34627,3-5年,50000
34628,1-3年,47500
34629,0-1年,35000
34630,0-1年,40000
34634,0-1年,35000
34636,1-3年,41500
34637,3-5年,60000
34639,1-3年,50000
34640,1-3年,41500
34642,3-5年,40000
34646,0-1年,50000
34647,1-3年,60000
34648,3-5年,36000
34649,1-3年,50000
34650,5-10年,62500
34652,1-3年,31000
34655,0-1年,48000
34656,1-3年,60000
34657,3-5年,50000
34658,1-3年,47500
34659,0-1年,35000
34660,0-1年,40000
34663,1-3年,49000
34664,3-5年,50000
34666,1-3年,28000
34667,3-5年,60000
34672,1-3年,60000
34673,5-10年,80769
34676,0-1年,70000
34679,0-1年,33000
34680,0-1年,40000
34682,1-3年,32500
34684,1-3年,41500
34685,5-10年,50000
34686,1-3年,38000
34687,3-5年,76923
34688,1-3年,44000
34689,1-3年,45000
34690,0-1年,70000
34691,0-1年,60000
34692,3-5年,49000
34693,0-1年,45000
34694,1-3年,37500
34699,0-1年,33500
34700,0-1年,45000
34702,0-1年,40000
34703,1-3年,55000
34706,1-3年,60000
34713,1-3年,57500
34716,0-1年,29232
34718,1-3年,100000
34719,1-3年,52500
34720,1-3年,42500
34721,1-3年,50000
34722,1-3年,52500
34724,1-3年,42500
34729,0-1年,33500
34730,0-1年,45000
34732,0-1年,40000
34733,1-3年,55000
34736,1-3年,60000
34743,1-3年,57500
34746,0-1年,29232
34748,1-3年,100000
34749,1-3年,52500
34750,1-3年,42500
34751,1-3年,50000
34752,1-3年,52500
34754,1-3年,42500
34759,0-1年,33500
34760,0-1年,45000
34762,0-1年,40000
34763,1-3年,55000
34766,1-3年,60000
34773,1-3年,57500
34776,0-1年,29232
34778,3-5年,57500
34784,0-1年,45000
34785,1-3年,37500
34788,0-1年,50000
34789,0-1年,34000
34791,1-3年,50000
34792,1-3年,50000
34793,0-1年,35500
34794,3-5年,41000
34795,1-3年,50000
34796,3-5年,70000
34802,5-10年,40000
34805,0-1年,29000
34809,0-1年,47000
34812,0-1年,47500
34813,0-1年,45000
34814,0-1年,41000
34816,1-3年,34000
34817,1-3年,45000
34818,3-5年,49000
34819,0-1年,38500
34820,0-1年,37500
34821,1-3年,45000
34822,1-3年,41500
34825,0-1年,44100
34826,1-3年,40000
34827,5-10年,45000
34828,1-3年,58500
34829,0-1年,58500
34830,0-1年,58500
34831,0-1年,58500
34834,1-3年,50000
34835,0-1年,35000
34837,0-1年,31060
34839,0-1年,32500
34841,0-1年,33000
34842,3-5年,30000
34848,1-3年,40000
34852,3-5年,50000
34854,0-1年,40870
34855,0-1年,32500
34856,0-1年,39000
34857,1-3年,38000
34858,0-1年,40000
34859,0-1年,40000
34860,0-1年,40000
34861,1-3年,60000
34862,0-1年,30000
34865,0-1年,38000
34866,1-3年,37500
34867,3-5年,37500
34868,0-1年,39429
34869,0-1年,31000
34870,3-5年,55000
34871,5-10年,55000
34872,0-1年,30500
34873,1-3年,40000
34876,0-1年,36000
34877,0-1年,40000
34878,0-1年,41500
34879,3-5年,37500
34880,0-1年,36000
34881,0-1年,40000
34882,0-1年,41000
34884,3-5年,72500
34885,0-1年,165300
34886,0-1年,165300
34887,0-1年,31000
34889,0-1年,37500
34890,0-1年,39000
34891,1-3年,47500
34892,0-1年,35000
34893,3-5年,70000
34894,0-1年,37500
34897,1-3年,36000
34898,1-3年,38000
34900,5-10年,70000
34901,0-1年,37000
34902,0-1年,41000
34903,1-3年,36000
34904,1-3年,42307
34907,0-1年,38500
34911,0-1年,39000
34917,1-3年,55000
34921,1-3年,47000
34922,1-3年,47000
34923,1-3年,36000
34924,1-3年,38000
34931,0-1年,60000
34933,0-1年,37000
34934,1-3年,33000
34935,3-5年,60000
34936,0-1年,44500
34939,0-1年,41500
34940,0-1年,40000
34949,3-5年,50000
34951,3-5年,50000
34953,5-10年,76153
34954,1-3年,40000
34955,3-5年,43500
34957,0-1年,41500
34958,0-1年,38000
34962,0-1年,29232
34963,0-1年,35538
34967,3-5年,40000
34970,1-3年,42000
34973,1-3年,50000
34975,0-1年,33000
34976,1-3年,33000
34977,3-5年,70000
34978,0-1年,47500
34979,0-1年,35000
34980,3-5年,65000
34983,0-1年,52500
34984,1-3年,31500
34985,1-3年,45000
34986,3-5年,70000
34988,0-1年,32000
34994,10年以上,70000
34999,1-3年,30000
35000,3-5年,50000
35001,0-1年,35000
35002,1-3年,45000
35003,0-1年,51500
35005,0-1年,30000
35006,0-1年,42500
35009,0-1年,35000
35011,0-1年,30000
35012,0-1年,35000
35013,0-1年,29232
35015,1-3年,40000
35017,0-1年,32400
35018,0-1年,35500
35019,1-3年,35050
35020,0-1年,34150
35023,1-3年,40000
35024,0-1年,41750
35025,1-3年,75000
35027,3-5年,37500
35030,0-1年,32625
35031,0-1年,46153
35032,1-3年,44000
35033,1-3年,60000
35034,3-5年,100000
35035,1-3年,39000
35038,3-5年,96153
35039,3-5年,96153
35040,0-1年,103846
35041,0-1年,43000
35043,1-3年,55000
35044,1-3年,50000
35045,0-1年,45000
35048,1-3年,45000
35049,0-1年,67500
35050,1-3年,70000
35055,0-1年,38280
35056,3-5年,40000
35057,1-3年,40000
35058,1-3年,40000
35059,3-5年,40000
35060,3-5年,80000
35061,3-5年,50000
35062,3-5年,40000
35063,5-10年,115384
35064,1-3年,69230
35065,10年以上,87500
35066,5-10年,82500
35068,0-1年,52500
35069,1-3年,115000
35071,0-1年,35670
35072,1-3年,77500
35073,1-3年,75000
35074,1-3年,55000
35075,3-5年,80000
35085,0-1年,38280
35086,3-5年,40000
35087,1-3年,40000
35088,1-3年,40000
35089,3-5年,40000
35090,3-5年,80000
35091,3-5年,50000
35092,3-5年,40000
35093,5-10年,115384
35094,1-3年,69230
35095,10年以上,87500
35096,5-10年,82500
35098,0-1年,52500
35099,1-3年,115000
35101,0-1年,35670
35102,1-3年,77500
35103,1-3年,75000
35104,1-3年,55000
35105,3-5年,80000
35115,0-1年,38280
35116,3-5年,40000
35117,1-3年,40000
35118,1-3年,40000
35119,3-5年,40000
35120,3-5年,80000
35121,3-5年,50000
35122,3-5年,40000
35123,5-10年,115384
35124,1-3年,69230
35125,10年以上,87500
35126,5-10年,82500
35128,0-1年,52500
35129,1-3年,115000
35131,0-1年,35670
35132,1-3年,77500
35133,1-3年,75000
35134,1-3年,55000
35135,3-5年,80000
35146,1-3年,47500
35148,3-5年,95000
35149,0-1年,60000
35150,1-3年,75000
35151,1-3年,75000
35155,0-1年,47500
35156,0-1年,75000
35158,1-3年,60000
35159,0-1年,61000
35162,1-3年,50000
35163,1-3年,62500
35164,3-5年,75000
35165,3-5年,75000
35166,3-5年,75000
35167,1-3年,75000
35168,1-3年,75000
35176,1-3年,47500
35178,3-5年,95000
35179,0-1年,60000
35180,1-3年,75000
35181,1-3年,75000
35185,0-1年,47500
35186,0-1年,75000
35188,1-3年,60000
35189,0-1年,61000
35192,1-3年,50000
35193,1-3年,62500
35194,3-5年,75000
35195,3-5年,75000
35196,1-3年,110000
35203,0-1年,110000
35205,0-1年,65000
35206,0-1年,62500
35207,1-3年,40000
35209,1-3年,45000
35213,3-5年,115000
35215,1-3年,60000
35218,0-1年,35000
35219,3-5年,80000
35222,0-1年,75000
35224,0-1年,100000
35225,3-5年,105000
35226,1-3年,110000
35233,0-1年,110000
35235,0-1年,65000
35236,0-1年,62500
35237,1-3年,40000
35239,1-3年,45000
35243,3-5年,115000
35245,1-3年,60000
35248,0-1年,35000
35249,3-5年,80000
35252,0-1年,50000
35253,1-3年,50000
35254,1-3年,40000
35266,3-5年,145000
35267,0-1年,35000
35268,0-1年,33060
35269,5-10年,95000
35273,0-1年,41000
35280,0-1年,41000
35282,0-1年,100000
35283,1-3年,55000
35284,1-3年,40000
35296,3-5年,145000
35297,0-1年,35000
35298,0-1年,33060
35299,5-10年,95000
35303,0-1年,41000
35310,0-1年,41000
35312,0-1年,100000
35313,1-3年,55000
35314,1-3年,40000
35326,3-5年,145000
35327,0-1年,35000
35328,0-1年,33060
35329,5-10年,95000
35333,0-1年,41000
35340,0-1年,40020
35344,1-3年,45000
35352,1-3年,50000
35353,1-3年,55000
35354,3-5年,92500
35355,1-3年,58000
35356,3-5年,65000
35357,3-5年,65000
35358,3-5年,65000
35359,3-5年,100000
35360,3-5年,50000
35363,0-1年,45500
35364,0-1年,45000
35365,0-1年,47500
35366,0-1年,45000
35368,0-1年,45500
35369,0-1年,46500
35370,0-1年,40020
35374,1-3年,45000
35382,1-3年,50000
35383,1-3年,55000
35384,3-5年,92500
35385,1-3年,58000
35386,3-5年,65000
35387,3-5年,65000
35388,3-5年,65000
35389,3-5年,100000
35390,3-5年,50000
35393,0-1年,45500
35394,0-1年,45000
35395,0-1年,47500
35396,0-1年,45000
35398,0-1年,45500
35399,0-1年,46500
35400,0-1年,40020
35404,1-3年,45000
35412,1-3年,50000
35413,1-3年,55000
35414,3-5年,92500
35415,1-3年,58000
35416,3-5年,65000
35417,3-5年,65000
35418,3-5年,65000
35419,3-5年,100000
35420,3-5年,50000
35423,0-1年,45500
35424,0-1年,45000
35425,0-1年,47500
35426,0-1年,45000
35428,0-1年,45500
35429,0-1年,46500
35430,0-1年,40020
35434,1-3年,45000
35442,1-3年,50000
35443,1-3年,55000
35444,3-5年,92500
35445,1-3年,58000
35446,3-5年,65000
35447,3-5年,65000
35448,3-5年,65000
35449,3-5年,100000
35450,3-5年,50000
35453,0-1年,45500
35454,0-1年,45000
35459,3-5年,47500
35460,5-10年,110000
35463,0-1年,37500
35465,0-1年,33500
35466,1-3年,35000
35467,1-3年,47500
35470,3-5年,62500
35471,0-1年,28000
35472,0-1年,60000
35473,0-1年,60000
35474,0-1年,62500
35476,5-10年,107000
35477,0-1年,62500
35478,10年以上,269230
35479,0-1年,28000
35480,0-1年,62500
35484,0-1年,47500
35489,0-1年,40000
35490,1-3年,35000
35498,0-1年,31500
35499,1-3年,55000
35502,1-3年,43076
35503,0-1年,35000
35504,0-1年,47500
35507,0-1年,52000
35509,5-10年,120000
35511,0-1年,52500
35517,0-1年,59000
35518,0-1年,44500
35522,1-3年,45000
35523,1-3年,65000
35525,1-3年,37500
35526,1-3年,47500
35527,0-1年,51000
35528,0-1年,44000
35529,0-1年,65000
35530,0-1年,51000
35531,0-1年,45000
35534,0-1年,36000
35535,0-1年,47500
35538,1-3年,40000
35539,0-1年,42500
35540,1-3年,60000
35541,0-1年,31320
35543,3-5年,60000
35544,1-3年,62500
35545,0-1年,62500
35546,1-3年,55000
35547,1-3年,35000
35548,1-3年,47500
35552,1-3年,45000
35553,1-3年,65000
35554,1-3年,46500
35555,0-1年,45000
35556,1-3年,46500
35557,1-3年,52500
35558,1-3年,50000
35560,0-1年,34000
35562,3-5年,105000
35563,3-5年,100000
35565,0-1年,45000
35566,0-1年,62500
35567,0-1年,80000
35570,0-1年,45000
35571,0-1年,45000
35572,0-1年,45000
35573,0-1年,45000
35574,0-1年,45000
35576,0-1年,45000
35577,0-1年,45000
35578,0-1年,45000
35579,0-1年,45000
35580,0-1年,52500
35581,0-1年,52500
35582,0-1年,40000
35583,0-1年,40000
35584,0-1年,47500
35589,0-1年,57500
35590,0-1年,36194
35594,0-1年,30000
35595,0-1年,46000
35596,1-3年,42500
35597,1-3年,50000
35598,5-10年,75000
35599,1-3年,65000
35600,1-3年,45000
35601,1-3年,65000
35602,1-3年,47500
35603,1-3年,50000
35604,5-10年,60000
35605,1-3年,47500
35606,5-10年,65000
35607,3-5年,57500
35608,3-5年,65000
35609,1-3年,47500
35610,0-1年,55000
35611,0-1年,52500
35612,0-1年,52500
35613,3-5年,75000
35614,0-1年,55000
35615,1-3年,75000
35616,1-3年,50000
35617,1-3年,50000
35618,1-3年,60000
35619,5-10年,90000
35620,1-3年,65000
35621,1-3年,52500
35622,0-1年,30000
35623,0-1年,57500
35624,0-1年,42500
35626,0-1年,105000
35627,1-3年,113100
35629,1-3年,52500
35630,1-3年,46000
35634,0-1年,35000
35638,1-3年,37000
35640,0-1年,42500
35641,0-1年,40000
35642,0-1年,40000
35643,0-1年,52500
35645,1-3年,30000
35646,1-3年,30000
35647,0-1年,85000
35648,0-1年,80000
35649,0-1年,80000
35650,0-1年,90000
35651,0-1年,80000
35652,0-1年,45000
35654,1-3年,50000
35655,1-3年,45000
35656,0-1年,60000
35657,0-1年,45000
35658,0-1年,51500
35660,0-1年,46500
35661,0-1年,85000
35662,1-3年,35000
35664,0-1年,40000
35668,1-3年,38000
35669,3-5年,40000
35671,0-1年,117500
35672,3-5年,75000
35673,1-3年,70000
35674,1-3年,80000
35675,1-3年,80000
35676,0-1年,40125
35677,1-3年,60000
35679,0-1年,49000
35680,0-1年,53000
35681,1-3年,40000
35682,1-3年,34000
35683,1-3年,60000
35684,3-5年,110000
35685,0-1年,90000
35686,0-1年,47500
35687,0-1年,47500
35688,1-3年,55000
35689,1-3年,50000
35690,1-3年,42500
35693,5-10年,121800
35694,5-10年,121800
35697,0-1年,52500
35698,3-5年,50000
35700,0-1年,50000
35701,1-3年,46000
35702,0-1年,46500
35703,3-5年,45000
35704,3-5年,100000
35705,3-5年,100000
35706,1-3年,47500
35708,1-3年,60000
35709,0-1年,52500
35710,0-1年,62500
35711,0-1年,45000
35712,1-3年,55000
35713,3-5年,110000
35714,0-1年,90000
35715,0-1年,47500
35716,0-1年,47500
35717,1-3年,55000
35718,1-3年,50000
35719,1-3年,42500
35722,5-10年,121800
35723,5-10年,121800
35726,0-1年,52500
35727,3-5年,50000
35729,0-1年,50000
35730,1-3年,46000
35731,0-1年,46500
35732,3-5年,45000
35733,3-5年,100000
35734,3-5年,100000
35735,1-3年,47500
35737,1-3年,60000
35738,0-1年,52500
35739,0-1年,62500
35740,0-1年,45000
35741,1-3年,55000
35742,3-5年,110000
35743,0-1年,90000
35744,0-1年,47500
35745,0-1年,47500
35746,1-3年,55000
35747,1-3年,50000
35748,1-3年,42500
35751,5-10年,121800
35752,5-10年,121800
35755,0-1年,52500
35756,3-5年,50000
35758,0-1年,50000
35759,1-3年,46000
35760,0-1年,46500
35761,3-5年,45000
35762,3-5年,100000
35763,3-5年,100000
35764,1-3年,47500
35766,1-3年,60000
35767,0-1年,52500
35768,0-1年,62500
35769,0-1年,45000
35770,1-3年,55000
35771,3-5年,110000
35772,0-1年,90000
35773,0-1年,47500
35774,0-1年,47500
35775,1-3年,55000
35776,1-3年,50000
35777,1-3年,42500
35779,3-5年,45000
35780,0-1年,51000
35781,3-5年,65000
35782,1-3年,70000
35783,0-1年,39000
35784,0-1年,40000
35785,1-3年,40000
35786,0-1年,49000
35787,3-5年,60192
35789,0-1年,35000
35790,0-1年,45000
35791,0-1年,45000
35792,0-1年,45000
35793,0-1年,45000
35794,1-3年,70000
35796,0-1年,52500
35798,0-1年,52500
35800,0-1年,52500
35801,0-1年,54500
35802,0-1年,52500
35803,0-1年,37625
35804,1-3年,65000
35805,1-3年,45000
35806,0-1年,52500
35807,1-3年,80000
35808,0-1年,50000
35809,5-10年,100000
35810,5-10年,65000
35811,5-10年,165000
35813,0-1年,46500
35814,0-1年,57500
35815,0-1年,49000
35817,1-3年,40000
35818,0-1年,34000
35819,0-1年,46500
35822,3-5年,55000
35823,0-1年,30000
35824,0-1年,28000
35825,0-1年,36000
35828,0-1年,60000
35829,0-1年,60000
35830,5-10年,115384
35831,5-10年,115384
35832,1-3年,75000
35833,1-3年,75000
35834,0-1年,60000
35835,0-1年,60000
35836,1-3年,75000
35837,1-3年,75000
35838,5-10年,115384
35839,5-10年,115384
35841,1-3年,60000
35842,0-1年,34000
35846,1-3年,65000
35847,0-1年,52500
35848,0-1年,25250
35849,0-1年,25250
35850,0-1年,25250
35851,0-1年,50000
35852,1-3年,45000
35853,1-3年,35000
35854,1-3年,43000
35855,3-5年,45000
35856,3-5年,45000
35857,3-5年,50000
35860,0-1年,52500
35862,0-1年,42500
35863,0-1年,42500
35865,3-5年,67500
35866,0-1年,66500
35867,0-1年,67500
35869,0-1年,70000
35870,0-1年,28000
35871,0-1年,55000
35876,1-3年,50000
35877,5-10年,62500
35878,5-10年,62500
35879,1-3年,50000
35880,0-1年,33500
35881,3-5年,50000
35882,3-5年,60000
35883,3-5年,50000
35884,3-5年,60000
35885,5-10年,75000
35886,3-5年,45000
35889,0-1年,45000
35894,0-1年,125000
35895,0-1年,52500
35896,1-3年,34000
35897,1-3年,45000
35898,0-1年,41500
35899,0-1年,37500
35900,1-3年,45000
35901,1-3年,34000
35902,0-1年,52500
35903,0-1年,52500
35904,0-1年,52500
35905,0-1年,52500
35906,0-1年,52500
35907,0-1年,52500
35908,5-10年,155000
35914,0-1年,50000
35918,0-1年,29232
35919,0-1年,84615
35920,0-1年,29232
35921,1-3年,40000
35922,0-1年,42500
35929,0-1年,31500
35930,1-3年,35000
35931,1-3年,42500
35933,1-3年,62585
35934,1-3年,49174
35935,1-3年,52527
35938,5-10年,155000
35944,0-1年,50000
35948,0-1年,29232
35949,0-1年,84615
35950,0-1年,29232
35951,1-3年,40000
35952,0-1年,42500
35959,0-1年,31500
35960,1-3年,35000
35961,1-3年,42500
35963,1-3年,62585
35964,1-3年,49174
35965,1-3年,52527
35968,5-10年,155000
35974,0-1年,50000
35978,0-1年,29232
35979,0-1年,84615
35980,0-1年,29232
35981,1-3年,40000
35982,0-1年,42500
35989,0-1年,31500
35990,1-3年,35000
35991,1-3年,42500
35993,1-3年,62585
35994,1-3年,49174
35995,1-3年,52527
35998,5-10年,155000
36004,0-1年,50000
36008,0-1年,29232
36009,0-1年,84615
36010,0-1年,29232
36011,1-3年,40000
36012,0-1年,42500
36019,0-1年,31500
36020,1-3年,35000
36021,1-3年,42500
